premium,exposure,loss
1061.04,1.0,0.0
444.57,0.75,0.0
656.24,1.0,0.0
2310.54,1.0,2054.76
698.83,1.0,0.0
373.52,0.5,0.0
2085.82,1.0,10193.18
3031.38,1.0,0.0
727.75,1.0,0.0
964.02,1.0,0.0
1235.89,1.0,0.0
502.08,0.25,0.0
582.26,0.75,0.0
754.81,0.75,0.0
1079.64,0.75,0.0
957.65,0.75,0.0
961.36,1.0,0.0
1046.45,1.0,0.0
338.88,0.5,0.0
1008.92,1.0,0.0
999.01,1.0,0.0
1189.47,1.0,0.0
902.92,1.0,1032.86
323.35,0.25,4506.24
1172.35,0.75,0.0
1157.94,1.0,12414.62
1240.31,1.0,1204.3
558.61,0.5,0.0
1096.67,1.0,0.0
851.89,1.0,0.0
1225.09,1.0,0.0
1059.92,1.0,0.0
2281.55,1.0,0.0
1902.02,1.0,830.59
627.6,0.5,4004.55
839.6,1.0,0.0
371.49,0.5,3726.53
-831.93,0.5,0.0
1202.26,1.0,0.0
1297.31,1.0,1347.91
595.5,1.0,2956.33
1137.88,0.75,0.0
964.26,0.75,0.0
743.49,1.0,1064.5
929.8,1.0,0.0
300.67,0.25,0.0
1116.96,1.0,0.0
495.02,0.5,0.0
1057.62,1.0,0.0
753.05,0.75,241.1
867.59,0.75,0.0
1835.41,1.0,0.0
446.6,1.0,0.0
1009.39,1.0,0.0
1166.52,0.0,1950.04
1216.34,1.0,0.0
962.78,1.0,0.0
592.97,1.0,0.0
922.53,0.75,0.0
2007.35,1.0,0.0
160.27,0.25,0.0
1112.83,0.75,0.0
977.52,1.0,0.0
268.34,0.25,0.0
758.61,1.0,0.0
975.49,1.0,0.0
432.13,0.25,0.0
1344.7,1.0,0.0
2010.84,1.0,0.0
1655.89,1.0,3808.47
959.1,0.75,0.0
2019.04,1.0,0.0
1278.76,1.0,0.0
1465.27,1.0,701.88
988.51,1.0,0.0
1122.47,,0.0
859.11,1.0,0.0
1550.53,1.0,578.82
726.03,1.0,0.0
1442.05,1.0,983.51
256.46,0.25,0.0
1652.32,1.0,0.0
1426.25,1.0,0.0
1036.99,0.5,0.0
1416.25,1.0,0.0
474.43,0.75,0.0
1071.23,1.0,0.0
727.63,1.0,0.0
686.03,0.75,0.0
930.56,0.5,0.0
1370.78,1.0,0.0
429.33,0.5,0.0
384.54,0.5,0.0
1109.29,1.0,2717.81
358.19,0.5,0.0
867.05,1.0,0.0
1223.17,1.0,0.0
1643.13,1.0,278.14
1357.05,1.0,0.0
491.79,1.0,0.0
609.95,0.5,2653.41
-1124.63,1.0,0.0
633.79,0.5,0.0
1930.77,1.0,0.0
399.49,0.75,0.0
668.76,0.75,0.0
1011.44,0.75,0.0
630.46,1.0,0.0
